clean_date,country,age_2,sex,injury,fatal,activity_verb2
June,USA,57.0,F,"No injury to occupant, outrigger canoe and paddle damaged",N,surfing
June,USA,11.0,F,Minor injury to left thigh,N,Close to the water
June,USA,48.0,M,Injury to left lower leg from surfboard skeg,N,surfing
June,AUSTRALIA,,M,Minor injury to lower leg,N,surfing
June,MEXICO,,M,Lacerations to leg & hand shark PROVOKED INCIDENT,N,swimming
June,AUSTRALIA,,M,"No injury, board bitten",N,surfing
June,BRAZIL,18.0,M,FATAL,Y,swimming
May,USA,52.0,M,Minor injury to foot. PROVOKED INCIDENT,N,fishing
May,USA,15.0,M,Lower left leg bitten,N,Close to the water
May,USA,12.0,M,Minor injury to foot,N,Close to the water
May,AUSTRALIA,32.0,M,Minor bite to hand by captive shark. PROVOKED INCIDENT,N,other activity
May,USA,10.0,M,Injuries to lower right leg and foot,N,surfing
May,USA,10.0,M,Severe bite to right forearm,N,swimming
May,ENGLAND,21.0,M,Injured by teeth of a dead porbeagle shark he was tossing overboard.,N,fishing
May,AUSTRALIA,34.0,F,Shallow lacerations to finger PROVOKED INCIDENT,N,other activity
May,SOUTH AFRICA,,M,"Minor injury, marks on board",N,surfing
May,AUSTRALIA,,M,"No injury, surfboard damaged",N,surfing
April,THAILAND,,M,Minor injury to ankle,N,swimming
April,COSTA RICA,30.0,M,"No injury, shark bit scuba gear",N,swimming
April,AUSTRALIA,,M,"No injury, knocked off board by shark",N,surfing
April,AUSTRALIA,,M,No injury,N,surfing
April,AUSTRALIA,60.0,M,"No injury, knocked off board by shark",N,surfing
April,AUSTRALIA,,M,"No injury, shark struck his leg",N,surfing
April,MALDIVES,32.0,M,5-inch cut to hand,N,fishing
April,SOUTH AFRICA,33.0,M,"No injury, shark bit hole in ski",N,vessel related
April,USA,29.0,M,Lacerations to right lower leg,N,surfing
April,THAILAND,54.0,M,Lacerations to foot and ankle,N,swimming
April,BRAZIL,34.0,M,"Multiple severe injuries to arms and leg, leg subsequently surgically amputated",,swimming
April,AUSTRALIA,41.0,M,Laceration to right thigh,N,surfing
April,AUSTRALIA,37.0,M,Lacerations to legs,N,surfing
April,BAHAMAS,,M,No Injury. Shark swam away with the surf board,N,surfing
April,BRAZIL,56.0,M,Injury to ankle from marine animal trapped in weir PROVOKED INCIDENT. ,N,fishing
April,NEW CALEDONIA,,,"No injury, shark bit board",N,surfing
April,BAHAMAS,12.0,M,"2 puncture wounds to left foot, abrasion to right foot",N,swimming
April,SOUTH AFRICA,19.0,M,Lacerations to left knee & lower leg,N,surfing
March,USA,25.0,M,Injuries to right leg & hand,N,surfing
March,AUSTRALIA,10.0,M,Minor injuries to legs,N,Close to the water
March,AUSTRALIA,69.0,M,"No injury, said to have been charged by sharks several times",N,swimming
March,AUSTRALIA,18.0,M,"Minor injury, ankle grazed",N,surfing
February,SOUTH AFRICA,38.0,M, The shark & man simply collided; neither were injured,N,swimming
February,AUSTRALIA,55.0,F,Laceratons to right leg & foot,N,swimming
February,AUSTRALIA,34.0,M,"Shark rammed kayak, no injury to occupant  PROVOKED INCIDENT",N,fishing
February,AUSTRALIA,35.0,M,Puncture wounds to leff foot & lower leg,N,Close to the water
February,AUSTRALIA,,F,"Collision / No injury, no attack",N,swimming
February,BRAZIL,46.0,F,Lacerations to 4 toes of right foot,N,other activity
February,ECUADOR,45.0,M,Injuries to right foot,N,swimming
February,AUSTRALIA,14.0,M,"No injury no attack. This is considerd an ""encounter""",N,fishing
January,AUSTRALIA,18.0,M,Injuries to right leg,N,other activity
January,NEW CALEDONIA,,M,Injuries to abdomen and arm,N,fishing
January,AUSTRALIA,,M,Severe laceration to left forearm,N,swimming
January,AUSTRALIA,28.0,M,"No injury, shark took his swimfin",N,swimming
January,BRAZIL,20.0,M,Minor injury to left forearm,N,surfing
January,AUSTRALIA,,M,Foot bitten,N,surfing
December,USA,54.0,F,Severe lacerations to left thigh & knee,N,surfing
December,USA,35.0,F,Foot bitten,N,surfing
December,MALAYSIA,24.0,M,"Minor injury to thigh, PROVOKED INCIDENT",N,fishing
December,BAHAMAS,25.0,F,Minor injury to arm,N,swimming
November,COSTA RICA,26.0,M,Serious injury to leg,N,swimming
November,COSTA RICA,49.0,F,FATAL,Y,swimming
November,LIBYA,,,FATAL,Y,other activity
November,USA,25.0,M,Right leg bitten,N,fishing
November,USA,14.0,F,Heel bitten,N,surfing
November,,24.0,M,Puncture wounds to feet,N,surfing
November,AUSTRALIA,25.0,M,Puncture wounds to left shoulder,N,surfing
November,CUBA,22.0,M,FATAL,Y,Close to the water
October,AUSTRALIA,7.0,M,Calf injured,N,swimming
October,AUSTRALIA,31.0,M,Minor injury to foot,N,surfing
October,USA,,M,No injury but shark bit SUP,N,surfing
October,MAURITIUS,,M,Minor injury to foot,N,swimming
October,USA,17.0,M,Lacerations to left foot,N,surfing
October,USA,60.0,F,Severe lacerations to left hand & wrist,N,swimming
October,AUSTRALIA,15.0,F,Minor injuries,N,fishing
October,NEW ZEALAND,,M,"No injury, shark shook kayak x3 ",N,vessel related
October,USA,,M,Puncture wounds & lacerations to foot,N,swimming
October,USA,54.0,M,Lacerations to left hand,N,surfing
October,USA,40.0,F,Abrasions,N,swimming
October,SOUTH AFRICA,31.0,M,FATAL,,swimming
September,USA,,M,Lacerations to lower left leg and foot,N,surfing
September,AUSTRALIA,,M,"No injury, board damaged by shark",N,surfing
September,USA,33.0,M,"Lacerations to right ankle, foot & toe",,surfing
September,USA,,M,Laceration to upper arm,N,surfing
September,USA,,M,Minor lacerations to sole of left foot,N,surfing
September,SPAIN,13.0,M,Lacerations to right foot,N,surfing
September,USA,28.0,M,Lacerations to left foot,N,surfing
September,SOUTH AFRICA,25.0,M,"FATAL, but death was probably due to drowning",,swimming
September,SAMOA,,M,Injuries to hands and legs,N,fishing
September,AUSTRALIA,,,"sharks rammed boats, no injury to occupants",N,fishing
September,USA,18.0,M,Lacerations to left foot,N,surfing
September,AUSTRALIA,,M,Minor injuries,N,swimming
September,AUSTRALIA,35.0,M,Minor lacerations to right hip,N,surfing
September,SOLOMON ISLANDS,,M,Foot bitten,N,fishing
September,SOUTH AFRICA,,M,FATAL,Y,swimming
September,JAPAN,42.0,M,Injury to ankle & feet,N,surfing
September,USA,,M,Lacerations to abdomen,N,swimming
September,USA,,F,Lacerations to foot,N,swimming
September,USA,17.0,M,Minor injury to right hand,N,surfing
August,AUSTRALIA,37.0,M,"No injury, board bitten",N,surfing
August,USA,3.0,F,Leg injured,N,Close to the water
August,SPAIN,11.0,F,Lacerations to left foot,,swimming
August,NEW ZEALAND,,M,"No injury, shark bit canoe",N,vessel related
August,USA,69.0,M,Not injured by shark but board bitten,N,other activity
August,BAHAMAS,,M,Hand injured,N,fishing
August,USA,13.0,M,Minor cuts to sole & toes of left foot,N,swimming
August,EGYPT,20.0,F,Bite to right leg/hip,N,swimming
August,USA,34.0,M,Foot bitten by landed shark PROVOKED INCIDENT,N,fishing
August,USA,,M,"No injury, bow of kayak bitten",N,fishing
July,USA,15.0,M,Lacerations to lower leg,N,surfing
July,USA,10.0,M,Abrasions and cuts to sole of foot,,swimming
July,USA,12.0,F,Bite to left thigh / minor injury,N,other activity
July,BAHAMAS,,F,Foot & ankle injured,N,swimming
July,BAHAMAS,,M,Severe lacerations to left hand,N,fishing
July,"ST HELENA, British overseas territory",37.0,M,Torso bitten,N,surfing
July,USA,,F,Minor injury to hand,N,other activity
July,SPAIN,,F,Abrasion to arm from shark's rough skin,N,swimming
July,USA,40.0,F,Foot bitten,N,other activity
July,USA,8.0,F,Foot injured,,swimming
July,USA,40.0,M,"No injury, kayak bitten",N,vessel related
July,USA,50.0,M,"No injury, shark bit paddleboard",N,other activity
July,USA,,M,Pulled off board by shark but no injury,N,surfing
July,AUSTRALIA,,M,"Minor injury, grazed by shark",N,surfing
July,USA,,M,"No injury, kayak bitten",N,vessel related
July,USA,46.0,M,Lower legs bitten,N,swimming
July,MEXICO,32.0,M,Hand bitten by hooked shark PROVOKED INCIDENT,N,fishing
July,SOUTH AFRICA,13.0,F,"No injury, shark bit surfboard",N,surfing
July,COMOROS,,,"Skull found in shark, a probable drowning & scavenging",,fishing
June,USA,,M,"Arm injured by hook, not by a shark",,fishing
June,USA,16.0,F,Left foot bitten,N,swimming
June,USA,,M,1 to 2-inch laceration behind knee,N,surfing
June,USA,14.0,F,Leg bitten,N,swimming
June,REUNION,34.0,M,"No injury, shark bit surfboard ",N,surfing
June,SPAIN,82.0,M,2-inch laceration to hand,N,swimming
,FRENCH POLYNESIA,,M,Injuries to hand and wrist,N,surfing
June,BAHAMAS,,F,Fingernail pulled off ,N,other activity
June,AUSTRALIA,48.0,M,"No injury, board bitten",N,surfing
June,AUSTRALIA,,F,"No injury, knocked off board",N,surfing
June,USA,19.0,M,Laceration to left foot,N,surfing
June,UNITED KINGDOM,30.0,M,"Bruise to leg, cuts to hand sustained when he hit the shark",N,surfing
June,USA,,M,Laceration to shin,N,fishing
June,BAHAMAS,32.0,F,Right forearm severed ,N,swimming
May,USA,20.0,F,Right hand bitten by hooked shark PROVOKED INCIDENT,N,other activity
May,USA,,M,Lacerations to right arm,N,other activity
May,AUSTRALIA,73.0,M,Abrasion to right forearm from pectoral fin of a shark that leapt into his boat,N,fishing
May,UNITED ARAB EMIRATES,41.0,M,Right leg severely bitten,N,fishing
May,AUSTRALIA,29.0,M,Thigh nipped PROVOKED INCIDENT,N,other activity
May,MEXICO,33.0,M,FATAL,Y,swimming
May,USA,18.0,F,"Laceration to thigh, likely caused by surfboard fin",,surfing
April,USA,,F,Major injury to posterior thigh,N,swimming
April,SOUTH AFRICA,14.0,M,Minor injury to right calf,N,surfing
April,USA,33.0,F,Left foot bitten,N,surfing
April,REUNION,28.0,M,FATAL,Y,surfing
April,NEW ZEALAND,,F,Puncture wounds & laceration above knee,N,surfing
April,USA,,F,Alleged laceration to left ankle,,other activity
April,"ST HELENA, British overseas territory",40.0,F,Calf & foot bitten,N,swimming
April,USA,,M,Laceration & puncture wounds to left foot,,swimming
April,USA,,,Minor bite to the foot,N,other activity
April,AUSTRALIA,17.0,F,FATAL,Y,surfing
April,USA,28.0,M,Lower right leg severely injured,N,surfing
April,USA,17.0,M,Lacerations to right foot,N,surfing
April,USA,,F,Lacerations to right foot,N,surfing
April,SOUTH AFRICA,68.0,M,"Fatal, coroner unable to determine if the diver was alive or had drowned when incident took place.",,swimming
April,USA,35.0,F,Calf bitten,N,surfing
April,USA,10.0,F,Laceration to calf,N,surfing
April,USA,21.0,F,Minor injury to left hand,N,swimming
April,USA,16.0,M,Foot injured,N,swimming
April,USA,51.0,F,"Thigh nipped, minor injury",N,swimming
April,AUSTRALIA,39.0,M,"No injury, shark bit off stern of kayak",N,vessel related
April,USA,17.0,F,Lacerations to thighs,N,swimming
March,USA,58.0,M,Minor injury to left foot,N,surfing
March,AUSTRALIA,30.0,M,Minor,N,surfing
March,USA,,M,"No injury, kayak bitten",N,vessel related
March,PHILIPPINES,25.0,M,Right thigh injured ,N,fishing
March,BAHAMAS,58.0,M,Abrasions & lacerations to left leg and hand,N,Close to the water
February,AUSTRALIA,,F,Hand bitten,N,swimming
February,AUSTRALIA,,M,"No injury, shark struck board",N,surfing
February,REUNION,26.0,M,Fatal,Y,surfing
February,AUSTRALIA,26.0,M,Left leg severely bitten,N,fishing
February,USA,22.0,M,Injury to hand,N,swimming
February,BRAZIL,,F,"Minor injury to finger, PROVOKED INCIDENT",N,other activity
February,SOUTH AFRICA,,M,"Shark damaged kayak, no injury to occupant",N,fishing
February,USA,,,"Shark bit boat, no injury to occupants",N,other activity
February,BAHAMAS,37.0,M,Lacerations to upper right arm,N,swimming
January,BRAZIL,21.0,M,Minor laceration to ring finger,N,swimming
January,USA,,M,Puncture wounds to lower arm or hand,N,other activity
January,AUSTRALIA,55.0,M,"Multiple injuries to arm, wrist and torso",N,swimming
January,AUSTRALIA,57.0,M,Injury to hand,N,swimming
January,USA,,M,Minor injury to hand,N,other activity
January,INDONESIA,48.0,M,Injury to right wrist & forearm,N,surfing
January,AUSTRALIA,35.0,M,"No attack, shark made a threat display",,fishing
January,USA,47.0,M,Minor injuries to foot,N,Close to the water
January,AUSTRALIA,20.0,M,Minor injuries to foot & toes,,Close to the water
December,USA,16.0,M,Lacerations to right forearm,N,surfing
December,AUSTRALIA,,F,Buttock bitten,N,swimming
December,SOUTH AFRICA,55.0,M,"No injury, but ski severely damaged",N,vessel related
December,AUSTRALIA,61.0,M,Punctures to left foot/ankle,N,swimming
December,FRENCH POLYNESIA,,M,Hand injured?,N,fishing
December,USA,19.0,M,Cuts to right ankle & foot,,surfing
December,AUSTRALIA,20.0,M,Lacerations to both hands while attempting to land a hooked shark PROVOKED INCIDENT,N,fishing
December,AUSTRALIA,65.0,M,Injuries to foot & arm,N,surfing
November,AUSTRALIA,73.0,M,Laceration to right hand by hooked & gaffed shark. PROVOKED INCIDENT,N,fishing
November,USA,58.0,F,Injuries to right calf and thigh,N,swimming
October,USA,41.0,M,Lacerations to right foot and ankle,N,surfing
October,USA,42.0,M,Lacerations to right hand,N,surfing
October,AUSTRALIA,36.0,M,Lacerations to left thigh,N,surfing
October,USA,36.0,M,Left arm and leg injured,N,surfing
October,AUSTRALIA,,M,Torso nipped,N,surfing
October,USA,66.0,F,Injuries to left calf,N,swimming
October,MEXICO,,M,"Shark breached cage, no injury to diver",,swimming
October,AUSTRALIA,25.0,M,Minor wound to lower right leg & surfboard bitten,N,surfing
October,USA,29.0,M,Wounds to upper thigh and lower leg,N,surfing
October,USA,21.0,M,Cuts to dorsal surface of left foot,N,surfing
October,USA,32.0,M,Minor injuries,N,other activity
September,AUSTRALIA,17.0,M,4 deep lacerations to thigh,N,surfing
September,USA,16.0,M,Minor injury to thigh,N,surfing
September,USA,36.0,M,Lacerations to hands,N,surfing
September,USA,43.0,M,Lacerations to lower leg,N,surfing
September,USA,43.0,M,"No injury, board bitten",N,surfing
September,AUSTRALIA,,M,Struck by fin on chest & leg,N,surfing
September,AUSTRALIA,,M,No injury: Knocked off board by shark,N,surfing
September,AUSTRALIA,,,Shark rammed boat. No injury to occupant,N,fishing
September,USA,,M,Minor injury to arm,N,Close to the water
September,USA,51.0,F,Severe lacerations to shoulder & forearm,N,swimming
September,NEW CALEDONIA,50.0,M,FATAL,Y,surfing
September,USA,12.0,F,Lacerations & punctures to lower right leg,N,surfing
September,AUSTRALIA,,M,"No inury, board broken in half by shark",N,surfing
September,USA,9.0,M,Foot bitten,N,surfing
September,USA,22.0,M,Two toes broken & lacerated,N,fishing
September,MEXICO,,,"No injury to divers, white shark breached cage",,swimming
August,USA,25.0,M,Lacerations to right foot,N,surfing
August,USA,37.0,M,Minor injury to ankle,N,surfing
August,REUNION,20.0,M,"Right arm severed, ankle severely bitten ",N,surfing
August,USA,49.0,M,Minor injury to ankle,N,Close to the water
August,BAHAMAS,15.0,M,Lacerations to left leg,N,swimming
August,USA,21.0,M,"No inury, shark & board collided",N,surfing
August,USA,22.0,M,Big toe bitten,N,surfing
July,SPAIN,40.0,M,Lacerations to right hand,N,swimming
July,CHINA,72.0,M,Lacerations to leg,N,swimming
July,AUSTRALIA,,M,"No injury, shark nudged kayak repeatedly",N,vessel related
July,USA,43.0,M,Laceration to left forearm PROVOKED INCIDENT,N,fishing
July,AUSTRALIA,18.0,M,"No injury. Leg rope severed, knocked off board by shark",N,surfing
July,JAPAN,29.0,M,Lacerations to left leg,N,surfing
July,AUSTRALIA,36.0,M,Calf bumped but no injury,N,surfing
July,BAHAMAS,,M,Lacerations to face and right leg,N,fishing
July,AUSTRALIA,31.0,M,Laceration to left calf from hooked shark PROVOKED INCIDENT,N,fishing
July,USA,,,"No injury, shark bit trolling motor",N,fishing
July,USA,9.0,F,Minor injury to leg,N,surfing
July,USA,11.0,F,Minor injury to toes,N,other activity
July,USA,61.0,M,"No injury, board damaged",N,surfing
July,USA,,M,Puncture wounds to foot,N,swimming
July,BAHAMAS,,M,Face bruised when partly blind shark collided with him,N,swimming
July,SPAIN,10.0,F,"5 tiny puncture marks to lower leg, treated with hydrogen peroxide",N,Close to the water
July,USA,,M,"No injury. Hull bitten, tooth fragment recovered",N,fishing
July,USA,59.0,M,Fin of hooked shark injured fisherman's forearm. . PROVOKED INCIDENT,N,fishing
July,USA,,M,"No injury. Hull bitten, tooth fragment recovered",N,fishing
July,USA,42.0,F,"Buttocks, thigh, left hand & wrist injured",N,swimming
July,AUSTRALIA,34.0,M,Right thigh injured by hooked pregnant female shark PROVOKED INCIDENT,N,fishing
June,USA,35.0,M,Minor injury,N,other activity
June,USA,11.0,M,Foot injured,N,surfing
June,COLUMBIA,59.0,M,Severe bite to right hand,N,swimming
June,SOUTH AFRICA,43.0,M,Injuries to left leg & right hand,N,fishing
June,USA,42.0,M,Lacerations and punctures to foot,N,swimming
June,USA,,M,Injuries to right calf,N,Close to the water
June,USA,,M,Single puncture wound to arm,N,surfing
June,AUSTRALIA,19.0,M,No injury but shark punctured his wetsuit after he prodded it with his spear PROVOKED INCIDENT,N,fishing
June,USA,6.0,F,Injury to lower leg,N,swimming
June,USA,19.0,M,Laceration to wrist,N,Close to the water
June,USA,27.0,M,"No injury, board damaged",,surfing
June,USA,64.0,M,Leg bitten,N,swimming
June,AUSTRALIA,60.0,F,FATAL,Y,swimming
June,EGYPT,23.0,M,"Leg severely bitten, surgically amputated",N,swimming
June,AUSTRALIA,,M,"No injury, but sharks repeatedly hit their fins and guns",,fishing
June,NEW CALEDONIA,,M,Laceration to heel,N,surfing
May,AUSTRALIA,29.0,M,FATAL,Y,surfing
May,USA,52.0,F,Injuries to arm and shoulder,N,swimming
May,USA,13.0,M,Injury to posterior right leg,N,swimming
May,USA,57.0,F,Puncture wounds to thigh,N,swimming
May,USA,22.0,F,Lacerations and puncture wounds to foot and ankle,N,swimming
May,USA,11.0,F,"Back, arm & hand injured",N,swimming
May,USA,48.0,M,Ankle bitten,N,swimming
May,USA,23.0,F,Arm grabbed PROVOKED INCIDENT,N,other activity
May,USA,59.0,M,Minor lacerations to right shoulder,N,swimming
May,NEW ZEALAND,39.0,M,Foot bitten by landed shark PROVOKED INCIDENT,N,fishing
April,INDONESIA,24.0,M,Elbow bitten,N,surfing
April,USA,15.0,M,Minor injury to left foot,N,surfing
April,SOUTH AFRICA,,M,"No injury, surf-ski bitten",N,vessel related
April,AUSTRALIA,12.0,M,Minor puncture wound to foot,N,swimming
April,FRENCH POLYNESIA,22.0,M,Laceration to knee by speared shark PROVOKED INCIDENT,N,fishing
April,FRENCH POLYNESIA,26.0,M,"Severe lacerations to right forearm, hand and calf from speared shark PROVOKED INCIDENT",N,fishing
April,USA,26.0,M,Multiple bites to right arm,N,fishing
April,NEW CALEDONIA,69.0,F,FATAL,Y,Close to the water
April,CAPE VERDE,60.0,M,"""Serious""",,other activity
April,USA,34.0,M,Left hand bitten,N,fishing
April,USA,,M,Fell off board when spinner shark leapt from the water next to him. No injury to surfer,,other activity
March,USA,46.0,F,Minor injury to left foot,N,swimming
March,AUSTRALIA,22.0,M,Severe injury to thigh,N,surfing
March,USA,,M,Minor injury to arm. Possibly caused by smalll nurse shark,,other activity
March,AUSTRALIA,41.0,M,"No injury, board dented",N,surfing
