resolucion,genre,deaths,sharktype
no injury,f,0.0,whiteshark
bite,f,0.0,
bite,m,0.0,
bite,m,0.0,other
bite,m,0.0,tigershark
no injury,m,0.0,
death,m,1.0,tigershark
bite,m,0.0,other
bite,m,0.0,bullshark
bite,m,0.0,
bite,m,0.0,other
bite,m,0.0,
bite,m,0.0,
bite,m,0.0,other
bite,f,0.0,other
bite,m,0.0,
no injury,m,0.0,other
bite,m,0.0,
no injury,m,0.0,tigershark
no injury,m,0.0,
no injury,m,0.0,other
no injury,m,0.0,other
no injury,m,0.0,whiteshark
bite,m,0.0,tigershark
no injury,m,0.0,whiteshark
bite,m,0.0,other
bite,m,0.0,bullshark
bite,m,,
bite,m,0.0,
bite,m,0.0,
no injury,m,0.0,tigershark
bite,m,0.0,other
no injury,,0.0,other
bite,m,0.0,bullshark
bite,m,0.0,whiteshark
bite,m,0.0,tigershark
bite,m,0.0,other
no injury,m,0.0,other
bite,m,0.0,other
bite,m,0.0,other
bite,f,0.0,whiteshark
no injury,m,0.0,
bite,m,0.0,bullshark
no injury,f,0.0,other
bite,f,0.0,other
bite,m,0.0,other
no injury,m,0.0,other
bite,m,0.0,bullshark
bite,m,0.0,bullshark
bite,m,0.0,other
no injury,m,0.0,whiteshark
bite,m,0.0,other
bite,m,0.0,other
bite,f,0.0,tigershark
bite,f,0.0,
bite,m,0.0,other
bite,f,0.0,other
bite,m,0.0,tigershark
death,f,1.0,tigershark
death,,1.0,other
bite,m,0.0,whiteshark
bite,f,0.0,
bite,m,0.0,
bite,m,0.0,other
death,m,1.0,tigershark
bite,m,0.0,other
bite,m,0.0,other
no injury,m,0.0,
bite,m,0.0,
bite,m,0.0,
bite,f,0.0,
bite,f,0.0,whiteshark
no injury,m,0.0,other
bite,m,0.0,other
bite,m,0.0,tigershark
bite,f,0.0,other
death,m,,other
bite,m,0.0,other
no injury,m,0.0,whiteshark
bite,m,,other
bite,m,0.0,other
bite,m,0.0,
bite,m,0.0,other
bite,m,0.0,
death,m,,
bite,m,0.0,
no injury,,0.0,whiteshark
bite,m,0.0,other
bite,m,0.0,
bite,m,0.0,whiteshark
bite,m,0.0,
death,m,1.0,
bite,m,0.0,
bite,m,0.0,other
bite,f,0.0,
bite,m,0.0,
no injury,m,0.0,whiteshark
bite,f,0.0,
bite,f,,other
no injury,m,0.0,
bite,m,0.0,whiteshark
bite,m,0.0,other
bite,m,0.0,other
bite,f,0.0,whitetip
bite,m,0.0,other
no injury,m,0.0,whiteshark
bite,m,0.0,
bite,m,,other
bite,f,0.0,
bite,f,0.0,
bite,m,0.0,
bite,m,0.0,
bite,f,0.0,tigershark
bite,f,0.0,other
bite,f,0.0,other
bite,f,,other
no injury,m,0.0,whiteshark
no injury,m,0.0,whiteshark
no injury,m,0.0,whiteshark
bite,m,0.0,
no injury,m,0.0,whiteshark
bite,m,0.0,bullshark
bite,m,0.0,tigershark
no injury,f,0.0,whiteshark
bite,,,other
bite,m,,other
bite,f,0.0,
bite,m,0.0,
bite,f,0.0,bullshark
no injury,m,0.0,bullshark
bite,m,0.0,
bite,m,0.0,
bite,f,0.0,
no injury,m,0.0,whiteshark
no injury,f,0.0,other
bite,m,0.0,
bite,m,0.0,other
bite,m,0.0,other
bite,f,0.0,tigershark
bite,f,0.0,other
bite,m,0.0,tigershark
bite,m,0.0,
bite,m,0.0,
bite,m,0.0,other
death,m,1.0,
bite,f,,other
bite,f,0.0,
bite,m,0.0,
bite,f,0.0,
death,m,1.0,
bite,f,0.0,
bite,f,,other
bite,f,0.0,
bite,m,,other
bite,,0.0,
death,f,1.0,whiteshark
bite,m,0.0,tigershark
bite,m,0.0,
bite,f,0.0,
death,m,,other
bite,f,0.0,
bite,f,0.0,
bite,f,0.0,
bite,m,0.0,
bite,f,0.0,
no injury,m,0.0,
bite,f,0.0,bullshark
bite,m,0.0,
bite,m,0.0,
no injury,m,0.0,whiteshark
bite,m,0.0,other
bite,m,0.0,other
bite,f,0.0,bullshark
no injury,m,0.0,
death,m,1.0,
bite,m,0.0,
bite,m,0.0,
bite,f,0.0,other
no injury,m,0.0,tigershark
no injury,,0.0,whiteshark
bite,m,0.0,other
bite,m,0.0,
bite,m,0.0,
bite,m,0.0,bullshark
bite,m,0.0,
bite,m,0.0,
bite,m,0.0,bullshark
bite,m,,bullshark
bite,m,0.0,
bite,m,,other
bite,m,0.0,
bite,f,0.0,other
no injury,m,0.0,whiteshark
bite,m,0.0,
bite,m,0.0,
bite,m,,other
bite,m,0.0,other
bite,m,0.0,whiteshark
bite,m,0.0,other
bite,f,0.0,tigershark
bite,m,0.0,
bite,m,0.0,
bite,m,0.0,
bite,m,0.0,other
bite,m,0.0,
bite,f,0.0,
no injury,m,,whiteshark
bite,m,0.0,
bite,m,0.0,
bite,m,0.0,
bite,m,0.0,
bite,m,0.0,whiteshark
bite,m,0.0,
bite,m,0.0,
bite,m,0.0,
no injury,m,0.0,
bite,m,0.0,
no injury,m,0.0,other
no injury,,0.0,
bite,m,0.0,other
bite,f,0.0,tigershark
death,m,1.0,
bite,f,0.0,
bite,m,0.0,
bite,m,0.0,
bite,m,0.0,whiteshark
no injury,,,other
bite,m,0.0,bullshark
bite,m,0.0,
bite,m,0.0,bullshark
bite,m,0.0,
bite,m,0.0,
bite,m,0.0,tigershark
bite,m,0.0,other
bite,m,0.0,other
