case,date,year,type,country,area,activity,sex,age,injury,dead,especie,resolucion,genre
2018.06.25,25-Jun-2018,2018.0,Boating,USA,California,Paddling,F,57,"No injury to occupant, outrigger canoe and paddle damaged",N,White shark,no injury,f
2018.06.18,18-Jun-2018,2018.0,Unprovoked,USA,Georgia,Standing,F,11,Minor injury to left thigh,N,,bite,f
2018.06.09,09-Jun-2018,2018.0,Invalid,USA,Hawaii,Surfing,M,48,Injury to left lower leg from surfboard skeg,N,,bite,m
2018.06.08,08-Jun-2018,2018.0,Unprovoked,AUSTRALIA,New South Wales,Surfing,M,,Minor injury to lower leg,N,2 m shark,bite,m
2018.06.04,04-Jun-2018,2018.0,Provoked,MEXICO,Colima,Free diving,M,,Lacerations to leg & hand shark PROVOKED INCIDENT,N,"Tiger shark, 3m",bite,m
2018.06.03.b,03-Jun-2018,2018.0,Unprovoked,AUSTRALIA,New South Wales,Kite surfing,M,,"No injury, board bitten",N,,no injury,m
2018.06.03.a,03-Jun-2018,2018.0,Unprovoked,BRAZIL,Pernambuco,Swimming,M,18,FATAL,Y,Tiger shark,death,m
2018.05.27,27-May-2018,2018.0,Unprovoked,USA,Florida,Fishing,M,52,Minor injury to foot. PROVOKED INCIDENT,N,"Lemon shark, 3'",bite,m
2018.05.26.b,26-May-2018,2018.0,Unprovoked,USA,Florida,Walking,M,15,Lower left leg bitten,N,"Bull shark, 6'",bite,m
2018.05.26.a,26-May-2018,2018.0,Unprovoked,USA,Florida,Standing,M,12,Minor injury to foot,N,,bite,m
2018.05.24,24-May-2018,2018.0,Provoked,AUSTRALIA,Queensland,Feeding sharks,M,32,Minor bite to hand by captive shark. PROVOKED INCIDENT,N,Grey reef shark,bite,m
2018.05.21,21-May-2018,2018.0,Unprovoked,USA,South Carolina,Boogie boarding,M,10,Injuries to lower right leg and foot,N,,bite,m
2018.05.13.b,13-May-2018,2018.0,Unprovoked,USA,South Carolina,Swimming,M,10,Severe bite to right forearm,N,,bite,m
2018.05.13.a,13-May-2018,2018.0,Invalid,ENGLAND,Cornwall,Fishing,M,21,Injured by teeth of a dead porbeagle shark he was tossing overboard.,N,Invalid incident,bite,m
2018.05.00,May 2018,2018.0,Provoked,AUSTRALIA,Westerm Australia,Feeding sharks,F,34,Shallow lacerations to finger PROVOKED INCIDENT,N,"Tawny nurse shark, 2m",bite,f
2018.05.12,12-May-2018,2018.0,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Surfing,M,,"Minor injury, marks on board",N,,bite,m
2018.05.09,09-May-2018,2018.0,Questionable,AUSTRALIA,New South Wales,Surfing,M,,"No injury, surfboard damaged",N,Shark involvement not confirmed,no injury,m
2018.04.30.R,Reported 30-Apr-2018,2018.0,Unprovoked,THAILAND,Hua Hin,Swimming,M,,Minor injury to ankle,N,,bite,m
2018.04.28.b,28-Apr-2018,2018.0,Unprovoked,COSTA RICA,Cocos Island,Scuba diving,M,30,"No injury, shark bit scuba gear",N,Tiger shark,no injury,m
2018.04.28.a,28-Apr-2018,2018.0,Unprovoked,AUSTRALIA,Western Australia,Surfing,M,,"No injury, knocked off board by shark",N,,no injury,m
2018.04.25.b,25-Apr-2018,2018.0,Questionable,AUSTRALIA,New South Wales,Surfing,M,,No injury,N,Questionable,no injury,m
2018.04.25.a,25-Apr-2018,2018.0,Unprovoked,AUSTRALIA,Western Australia,Surfing,M,60,"No injury, knocked off board by shark",N,3 m shark,no injury,m
2018.04.24,24-Apr-2018,2018.0,Unprovoked,AUSTRALIA,Western Australia,Surfing,M,,"No injury, shark struck his leg",N,"White shark, 3.5 m",no injury,m
2018.04.23,23-Apr-2018,2018.0,Unprovoked,MALDIVES,Alifu Alifu Atoll,Fishing,M,32,5-inch cut to hand,N,Tiger shark,bite,m
2018.04.22,22-Apr-2018,2018.0,Unprovoked,SOUTH AFRICA,Western Cape Province,Paddle-skiing,M,33,"No injury, shark bit hole in ski",N,"White shark, 2.5 m",no injury,m
2018.04.19,19-Apr-2018,2018.0,Unprovoked,USA,Hawaii,Body boarding,M,29,Lacerations to right lower leg,N,6' shark,bite,m
2018.04.15.d,15-Apr-2018,2018.0,Unprovoked,THAILAND,Hua Hin,Swimming,M,54,Lacerations to foot and ankle,N,Juvenile bull shark,bite,m
2018.04.15.c,15-Apr-2018,2018.0,Unprovoked,BRAZIL,Pernambuco,Swimming,M,34,"Multiple severe injuries to arms and leg, leg subsequently surgically amputated",,,bite,m
2018.04.15.b,15-Apr-2018,2018.0,Unprovoked,AUSTRALIA,Western Australia,Surfing,M,41,Laceration to right thigh,N,,bite,m
2018.04.15.a,15-Apr-2018,2018.0,Unprovoked,AUSTRALIA,Western Australia,Surfing,M,37,Lacerations to legs,N,,bite,m
2018.04.14,14-Apr-2018,2018.0,Unprovoked,BAHAMAS,New Providence,Surfing,M,,No Injury. Shark swam away with the surf board,N,Tiger shark,no injury,m
2018.04.10.R,Reported 10-Apr-2018,2018.0,Invalid,BRAZIL,Alagoas,Fishing,M,56,Injury to ankle from marine animal trapped in weir PROVOKED INCIDENT. ,N,Shark involvement not confirmed,bite,m
2018.04.09,09-Apr-2018,2018.0,Unprovoked,NEW CALEDONIA,,Windsurfing,,,"No injury, shark bit board",N,2 m shark,no injury,
2018.04.05,05-Apr-2018,2018.0,Unprovoked,BAHAMAS,,Swimming,M,12,"2 puncture wounds to left foot, abrasion to right foot",N,Bull shark,bite,m
2018.04.03,03-Apr-2018,2018.0,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Surfing,M,19,Lacerations to left knee & lower leg,N,White shark,bite,m
2018.03.31,31-Mar-2018,2018.0,Unprovoked,USA,Hawaii,Stand-Up Paddleboarding,M,25,Injuries to right leg & hand,N,"Tiger shark, 12'",bite,m
2018.03.14,14-Mar-2018,2018.0,Unprovoked,AUSTRALIA,Western Australia,Wading,M,10,Minor injuries to legs,N,Wobbegong shark,bite,m
2018.03.09.b,9-Mar-2018,2018.0,Unprovoked,AUSTRALIA,Victoria,Swimming,M,69,"No injury, said to have been charged by sharks several times",N,3.5 m shark,no injury,m
2018.03.09.a,9-Mar-2018,2018.0,Unprovoked,AUSTRALIA,Victoria,Surfing,M,18,"Minor injury, ankle grazed",N,1.8 m shark,bite,m
2018.02.24,24-Feb-2018,2018.0,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Scuba Diving,M,38, The shark & man simply collided; neither were injured,N,Blacktip shark,bite,m
